15 fev 2023 18:09:01,62.14,932.08,31.62,33.21

15 fev 2023 18:09:02,62.14,932.08,31.62,33.21
15 fev 2023 18:09:03,62.12,932.08,31.61,33.35
15 fev 2023 18:09:04,62.17,932.07,31.60,33.21
15 fev 2023 18:09:05,62.17,932.07,31.60,33.21
15 fev 2023 18:09:06,62.18,932.07,31.60,33.26
15 fev 2023 18:09:07,62.20,932.06,31.60,33.56
15 fev 2023 18:09:08,62.20,932.06,31.60,33.56
15 fev 2023 18:09:09,62.18,932.07,31.60,33.55
15 fev 2023 18:09:10,62.18,932.05,31.60,33.18
15 fev 2023 18:09:11,62.26,932.05,31.60,33.18
15 fev 2023 18:09:12,62.23,932.06,31.60,33.32
15 fev 2023 18:09:13,62.23,932.06,31.61,33.51
15 fev 2023 18:09:14,62.24,932.06,31.61,33.51
15 fev 2023 18:09:15,62.22,932.07,31.61,33.42
15 fev 2023 18:09:16,62.22,932.07,31.61,33.47
15 fev 2023 18:09:17,62.21,932.05,31.61,33.47
15 fev 2023 18:09:18,62.23,932.06,31.61,33.22
16 fev 2023 10:46:19,71.35,935.25,28.14,30.84
16 fev 2023 10:46:20,71.34,935.25,28.14,30.96
16 fev 2023 10:46:21,71.34,935.25,28.14,30.96
16 fev 2023 10:46:22,71.34,935.25,28.15,30.66
16 fev 2023 10:46:23,71.34,935.27,28.16,30.79
16 fev 2023 10:46:24,71.35,935.27,28.16,30.79
16 fev 2023 10:46:25,71.36,935.26,28.16,31.04
16 fev 2023 10:46:26,71.36,935.26,28.17,30.97
16 fev 2023 10:46:27,71.26,935.25,28.17,30.97
16 fev 2023 10:46:28,71.34,935.25,28.16,30.92
16 fev 2023 10:46:29,71.34,935.25,28.16,30.82
16 fev 2023 10:46:30,71.34,935.25,28.15,30.82
16 fev 2023 10:46:31,71.36,935.25,28.14,31.01
16 fev 2023 10:46:32,71.36,935.25,28.14,31.01
16 fev 2023 10:46:33,71.38,935.25,28.14,31.16

16 fev 2023 10:46:34,71.36,935.25,28.15,31.29
16 fev 2023 10:46:35,71.36,935.25,28.15,31.29
16 fev 2023 10:46:36,71.36,935.24,28.17,30.94
16 fev 2023 10:46:37,71.37,935.24,28.16,31.18
16 fev 2023 10:46:38,71.37,935.24,28.16,31.18
16 fev 2023 10:46:39,71.33,935.25,28.16,30.97
16 fev 2023 10:46:40,71.33,935.24,28.15,30.74
16 fev 2023 10:46:41,71.34,935.24,28.15,30.74
16 fev 2023 10:46:42,71.32,935.23,28.15,30.78


