24 dez 2022 13:52:20,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:21,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:22,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:23,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:24,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:25,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:26,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:27,49.6492958068,935.1857910156,31.2622070312,31.9256324768
24 dez 2022 13:52:28,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:29,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:30,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:31,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:32,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:33,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:34,49.7108383178,935.1829833984,31.26181221,31.7789287567
24 dez 2022 13:52:35,49.7642097473,935.1691894531,31.2667121887,32.0219802856
25 dez 2022 16:45:07,75.8442001342,933.1942138671,27.608718872,28.9471359252
25 dez 2022 16:45:08,75.8442001342,933.1942138671,27.608718872,28.9471359252
25 dez 2022 16:45:09,75.8442001342,933.1942138671,27.608718872,28.9471359252
25 dez 2022 16:45:10,75.8442001342,933.1942138671,27.608718872,28.9471359252
25 dez 2022 16:45:11,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:12,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:13,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:14,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:15,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:16,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:17,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:18,75.8478546142,933.1945800781,27.6174259185,28.8077201843
25 dez 2022 16:45:19,75.8625564575,933.1903076171,27.6168231964,29.0303668975
25 dez 2022 16:45:20,75.8625564575,933.1903076171,27.6168231964,29.0303668975
25 dez 2022 16:45:21,75.8625564575,933.1903076171,27.6168231964,29.0303668975
25 dez 2022 16:45:22,75.8625564575,933.1903076171,27.6168231964,29.0303668975
25 dez 2022 16:45:23,75.8625564575,933.1903076171,27.6168231964,29.0303668975
26 dez 2022 22:41:47,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:48,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:49,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:50,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:51,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:52,88.6127243041,937.7561035156,24.1658000946,21.6877708435
26 dez 2022 22:41:53,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:54,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:55,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:56,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:57,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:58,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:41:59,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:42:00,88.5719985961,937.7472534179,24.188671112,21.8134307861
26 dez 2022 22:42:01,88.5568389892,937.7473144531,24.2083835601,21.8160381317
26 dez 2022 22:42:02,88.5568389892,937.7473144531,24.2083835601,21.8160381317
26 dez 2022 22:42:03,88.5568389892,937.7473144531,24.2083835601,21.8160381317
27 dez 2022 11:43:36,95.6751403808,938.6083374023,24.2196826934,23.9377384185
27 dez 2022 11:43:37,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:38,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:39,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:40,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:41,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:42,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:43,95.6609802246,938.6110229492,24.2632122039,23.8742771148
27 dez 2022 11:43:44,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:45,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:46,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:47,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:48,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:49,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:50,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:51,95.5591430664,938.6170043945,24.2792243957,23.9363822937
27 dez 2022 11:43:52,95.5734863281,938.6110229492,24.2880191802,23.8940887451
